歯牙障害特徴順位,品詞,基本形,All出現回数,All出現事例数,All事例出現率(%),歯牙障害出現回数,歯牙障害出現事例数,歯牙障害事例出現率(%),出現率差_歯牙障害-All,出現率倍率_歯牙障害_All
6269,名詞,継続,8,8,0.1041,0.0,0.0,0.0,-0.1041,0.0
6270,名詞,緊急,8,8,0.1041,0.0,0.0,0.0,-0.1041,0.0
6271,名詞,背もたれ,8,8,0.1041,0.0,0.0,0.0,-0.1041,0.0
6272,名詞,脈拍,8,8,0.1041,0.0,0.0,0.0,-0.1041,0.0
6273,名詞,脾臓,9,8,0.1041,0.0,0.0,0.0,-0.1041,0.0
6274,名詞,言語,8,8,0.1041,0.0,0.0,0.0,-0.1041,0.0
6275,名詞,説明,8,8,0.1041,0.0,0.0,0.0,-0.1041,0.0
6276,名詞,負荷,8,8,0.1041,0.0,0.0,0.0,-0.1041,0.0
6277,名詞,跳躍,9,8,0.1041,0.0,0.0,0.0,-0.1041,0.0
6278,名詞,輪ゴム,10,8,0.1041,0.0,0.0,0.0,-0.1041,0.0
6279,名詞,週間,8,8,0.1041,0.0,0.0,0.0,-0.1041,0.0
6280,名詞,部品,8,8,0.1041,0.0,0.0,0.0,-0.1041,0.0
6281,名詞,釘,17,8,0.1041,0.0,0.0,0.0,-0.1041,0.0
6282,名詞,陥没,11,8,0.1041,0.0,0.0,0.0,-0.1041,0.0
6283,名詞,雲,9,8,0.1041,0.0,0.0,0.0,-0.1041,0.0
6284,名詞,飴,14,8,0.1041,0.0,0.0,0.0,-0.1041,0.0
6285,名詞,駅伝,9,8,0.1041,0.0,0.0,0.0,-0.1041,0.0
6286,形容詞,無い,9,8,0.1041,0.0,0.0,0.0,-0.1041,0.0
6287,名詞,反動,42,42,0.5467,7.0,7.0,0.4422,-0.1045,0.8089
6288,動詞,はずれる,13,13,0.1692,1.0,1.0,0.0632,-0.106,0.3735
6289,動詞,分かる,14,13,0.1692,1.0,1.0,0.0632,-0.106,0.3735
6290,動詞,捕まえる,13,13,0.1692,1.0,1.0,0.0632,-0.106,0.3735
6291,動詞,浴びる,13,13,0.1692,1.0,1.0,0.0632,-0.106,0.3735
6292,動詞,立てかける,14,13,0.1692,1.0,1.0,0.0632,-0.106,0.3735
6293,名詞,ケース,20,13,0.1692,1.0,1.0,0.0632,-0.106,0.3735
6294,名詞,ゲージ,24,13,0.1692,3.0,1.0,0.0632,-0.106,0.3735
6295,名詞,チップ,13,13,0.1692,1.0,1.0,0.0632,-0.106,0.3735
6296,名詞,メガネ,14,13,0.1692,1.0,1.0,0.0632,-0.106,0.3735
6297,名詞,体力,13,13,0.1692,1.0,1.0,0.0632,-0.106,0.3735
6298,名詞,吐き気,14,13,0.1692,1.0,1.0,0.0632,-0.106,0.3735
6299,名詞,水中,14,13,0.1692,1.0,1.0,0.0632,-0.106,0.3735
6300,名詞,男児,17,13,0.1692,1.0,1.0,0.0632,-0.106,0.3735
6301,名詞,組み,13,13,0.1692,1.0,1.0,0.0632,-0.106,0.3735
6302,名詞,自席,13,13,0.1692,1.0,1.0,0.0632,-0.106,0.3735
6303,名詞,自然,14,13,0.1692,1.0,1.0,0.0632,-0.106,0.3735
6304,名詞,９,13,13,0.1692,1.0,1.0,0.0632,-0.106,0.3735
6305,動詞,できる,181,178,2.3171,35.0,35.0,2.211,-0.1061,0.9542
6306,動詞,加わる,19,18,0.2343,2.0,2.0,0.1263,-0.108,0.5391
6307,動詞,変える,18,18,0.2343,2.0,2.0,0.1263,-0.108,0.5391
6308,動詞,拭く,21,18,0.2343,2.0,2.0,0.1263,-0.108,0.5391
6309,動詞,敷く,19,18,0.2343,2.0,2.0,0.1263,-0.108,0.5391
6310,動詞,洗う,18,18,0.2343,2.0,2.0,0.1263,-0.108,0.5391
6311,動詞,生じる,18,18,0.2343,2.0,2.0,0.1263,-0.108,0.5391
6312,名詞,全校,18,18,0.2343,2.0,2.0,0.1263,-0.108,0.5391
6313,名詞,回り,18,18,0.2343,2.0,2.0,0.1263,-0.108,0.5391
6314,名詞,止め,18,18,0.2343,2.0,2.0,0.1263,-0.108,0.5391
6315,名詞,筋,19,18,0.2343,2.0,2.0,0.1263,-0.108,0.5391
6316,名詞,門,24,18,0.2343,3.0,2.0,0.1263,-0.108,0.5391
6317,名詞,清掃,135,120,1.5621,30.0,23.0,1.4529,-0.1092,0.9301
6318,動詞,履く,23,23,0.2994,3.0,3.0,0.1895,-0.1099,0.6329
6319,動詞,張る,24,23,0.2994,3.0,3.0,0.1895,-0.1099,0.6329
6320,動詞,組む,24,23,0.2994,3.0,3.0,0.1895,-0.1099,0.6329
6321,名詞,はずみ,23,23,0.2994,3.0,3.0,0.1895,-0.1099,0.6329
6322,名詞,外側,26,23,0.2994,3.0,3.0,0.1895,-0.1099,0.6329
6323,名詞,後片付け,23,23,0.2994,3.0,3.0,0.1895,-0.1099,0.6329
6324,名詞,姿勢,31,28,0.3645,4.0,4.0,0.2527,-0.1118,0.6933
6325,名詞,指示,29,28,0.3645,4.0,4.0,0.2527,-0.1118,0.6933
6326,形容詞,軽い,28,28,0.3645,4.0,4.0,0.2527,-0.1118,0.6933
6327,動詞,怒る,39,38,0.4947,6.0,6.0,0.379,-0.1157,0.7661
6328,動詞,待つ,76,72,0.9373,14.0,13.0,0.8212,-0.1161,0.8761
6329,動詞,あおる,9,9,0.1172,0.0,0.0,0.0,-0.1172,0.0
6330,動詞,かかえる,9,9,0.1172,0.0,0.0,0.0,-0.1172,0.0
6331,動詞,すれ違う,9,9,0.1172,0.0,0.0,0.0,-0.1172,0.0
6332,動詞,熱す,10,9,0.1172,0.0,0.0,0.0,-0.1172,0.0
6333,動詞,答える,9,9,0.1172,0.0,0.0,0.0,-0.1172,0.0
6334,動詞,繰り返す,9,9,0.1172,0.0,0.0,0.0,-0.1172,0.0
6335,動詞,走り込む,10,9,0.1172,0.0,0.0,0.0,-0.1172,0.0
6336,名詞,30,9,9,0.1172,0.0,0.0,0.0,-0.1172,0.0
6337,名詞,おもちゃ,12,9,0.1172,0.0,0.0,0.0,-0.1172,0.0
6338,名詞,ん,9,9,0.1172,0.0,0.0,0.0,-0.1172,0.0
6339,名詞,アタック,9,9,0.1172,0.0,0.0,0.0,-0.1172,0.0
6340,名詞,シャープペンシル,12,9,0.1172,0.0,0.0,0.0,-0.1172,0.0
6341,名詞,ハンマー,17,9,0.1172,0.0,0.0,0.0,-0.1172,0.0
6342,名詞,下方,9,9,0.1172,0.0,0.0,0.0,-0.1172,0.0
6343,名詞,剤,13,9,0.1172,0.0,0.0,0.0,-0.1172,0.0
6344,名詞,各自,9,9,0.1172,0.0,0.0,0.0,-0.1172,0.0
6345,名詞,委員,9,9,0.1172,0.0,0.0,0.0,-0.1172,0.0
6346,名詞,屋上,10,9,0.1172,0.0,0.0,0.0,-0.1172,0.0
6347,名詞,最終,9,9,0.1172,0.0,0.0,0.0,-0.1172,0.0
6348,名詞,歳児,9,9,0.1172,0.0,0.0,0.0,-0.1172,0.0
6349,名詞,油,15,9,0.1172,0.0,0.0,0.0,-0.1172,0.0
6350,名詞,皿,13,9,0.1172,0.0,0.0,0.0,-0.1172,0.0
6351,名詞,眼科,9,9,0.1172,0.0,0.0,0.0,-0.1172,0.0
6352,名詞,砲丸,17,9,0.1172,0.0,0.0,0.0,-0.1172,0.0
6353,名詞,窓際,9,9,0.1172,0.0,0.0,0.0,-0.1172,0.0
6354,名詞,缶,16,9,0.1172,0.0,0.0,0.0,-0.1172,0.0
6355,名詞,芯,10,9,0.1172,0.0,0.0,0.0,-0.1172,0.0
6356,名詞,負担,9,9,0.1172,0.0,0.0,0.0,-0.1172,0.0
6357,名詞,達,9,9,0.1172,0.0,0.0,0.0,-0.1172,0.0
6358,名詞,間際,9,9,0.1172,0.0,0.0,0.0,-0.1172,0.0
6359,名詞,靭帯,9,9,0.1172,0.0,0.0,0.0,-0.1172,0.0
6360,名詞,鼻骨,9,9,0.1172,0.0,0.0,0.0,-0.1172,0.0
6361,名詞,．,11,9,0.1172,0.0,0.0,0.0,-0.1172,0.0
6362,形容詞,おかしい,9,9,0.1172,0.0,0.0,0.0,-0.1172,0.0
6363,動詞,きれる,111,111,1.4449,21.0,21.0,1.3266,-0.1183,0.9181
6364,名詞,鼻,118,111,1.4449,22.0,21.0,1.3266,-0.1183,0.9181
6365,名詞,ため,1449,1266,16.4801,289.0,259.0,16.3613,-0.1188,0.9928
6366,動詞,めがける,15,14,0.1822,1.0,1.0,0.0632,-0.119,0.3469
6367,動詞,引き上げる,14,14,0.1822,1.0,1.0,0.0632,-0.119,0.3469
6368,動詞,抱く,15,14,0.1822,1.0,1.0,0.0632,-0.119,0.3469
6369,動詞,聞こえる,15,14,0.1822,1.0,1.0,0.0632,-0.119,0.3469
6370,動詞,行なう,16,14,0.1822,1.0,1.0,0.0632,-0.119,0.3469
6371,動詞,走り回る,14,14,0.1822,1.0,1.0,0.0632,-0.119,0.3469
6372,動詞,飛び越える,14,14,0.1822,1.0,1.0,0.0632,-0.119,0.3469
6373,名詞,15,14,14,0.1822,1.0,1.0,0.0632,-0.119,0.3469
6374,名詞,マシーン,18,14,0.1822,1.0,1.0,0.0632,-0.119,0.3469
6375,名詞,ライン,16,14,0.1822,1.0,1.0,0.0632,-0.119,0.3469
6376,名詞,前後,14,14,0.1822,1.0,1.0,0.0632,-0.119,0.3469
6377,名詞,外周,15,14,0.1822,1.0,1.0,0.0632,-0.119,0.3469
6378,名詞,敷地,14,14,0.1822,1.0,1.0,0.0632,-0.119,0.3469
6379,名詞,直径,14,14,0.1822,1.0,1.0,0.0632,-0.119,0.3469
6380,名詞,製作,14,14,0.1822,1.0,1.0,0.0632,-0.119,0.3469
6381,名詞,道具,19,14,0.1822,1.0,1.0,0.0632,-0.119,0.3469
6382,名詞,電車,23,14,0.1822,1.0,1.0,0.0632,-0.119,0.3469
6383,名詞,全体,20,19,0.2473,2.0,2.0,0.1263,-0.121,0.5107
6384,名詞,養護,19,19,0.2473,2.0,2.0,0.1263,-0.121,0.5107
6385,形容詞,重い,19,19,0.2473,2.0,2.0,0.1263,-0.121,0.5107
6386,動詞,拾う,127,121,1.5751,24.0,23.0,1.4529,-0.1222,0.9224
6387,動詞,腫れる,24,24,0.3124,3.0,3.0,0.1895,-0.1229,0.6066
6388,名詞,ごっこ,24,24,0.3124,3.0,3.0,0.1895,-0.1229,0.6066
6389,名詞,後ろ向き,24,24,0.3124,3.0,3.0,0.1895,-0.1229,0.6066
6390,名詞,手足,24,24,0.3124,3.0,3.0,0.1895,-0.1229,0.6066
6391,名詞,フリー,30,29,0.3775,4.0,4.0,0.2527,-0.1248,0.6694
6392,名詞,走り高跳び,29,29,0.3775,4.0,4.0,0.2527,-0.1248,0.6694
6393,名詞,グループ,45,34,0.4426,7.0,5.0,0.3159,-0.1267,0.7137
6394,名詞,スライディング,36,34,0.4426,5.0,5.0,0.3159,-0.1267,0.7137
6395,名詞,周り,34,34,0.4426,5.0,5.0,0.3159,-0.1267,0.7137
6396,名詞,校舎,115,102,1.3278,19.0,19.0,1.2003,-0.1275,0.904
6397,動詞,こする,10,10,0.1302,0.0,0.0,0.0,-0.1302,0.0
6398,動詞,はぐ,10,10,0.1302,0.0,0.0,0.0,-0.1302,0.0
6399,動詞,はねる,10,10,0.1302,0.0,0.0,0.0,-0.1302,0.0
6400,動詞,取り出す,10,10,0.1302,0.0,0.0,0.0,-0.1302,0.0
6401,動詞,咬む,11,10,0.1302,0.0,0.0,0.0,-0.1302,0.0
6402,動詞,飲む,11,10,0.1302,0.0,0.0,0.0,-0.1302,0.0
6403,名詞,km,10,10,0.1302,0.0,0.0,0.0,-0.1302,0.0
6404,名詞,ざま,10,10,0.1302,0.0,0.0,0.0,-0.1302,0.0
6405,名詞,その間,10,10,0.1302,0.0,0.0,0.0,-0.1302,0.0
6406,名詞,アメリカンフットボール,10,10,0.1302,0.0,0.0,0.0,-0.1302,0.0
6407,名詞,アルコール,24,10,0.1302,0.0,0.0,0.0,-0.1302,0.0
6408,名詞,センチ,10,10,0.1302,0.0,0.0,0.0,-0.1302,0.0
6409,名詞,テント,16,10,0.1302,0.0,0.0,0.0,-0.1302,0.0
6410,名詞,レクリエーション,10,10,0.1302,0.0,0.0,0.0,-0.1302,0.0
6411,名詞,下腹部,10,10,0.1302,0.0,0.0,0.0,-0.1302,0.0
6412,名詞,不要,10,10,0.1302,0.0,0.0,0.0,-0.1302,0.0
6413,名詞,丸,18,10,0.1302,0.0,0.0,0.0,-0.1302,0.0
6414,名詞,右前,10,10,0.1302,0.0,0.0,0.0,-0.1302,0.0
6415,名詞,団体,10,10,0.1302,0.0,0.0,0.0,-0.1302,0.0
6416,名詞,夜,10,10,0.1302,0.0,0.0,0.0,-0.1302,0.0
6417,名詞,審判,11,10,0.1302,0.0,0.0,0.0,-0.1302,0.0
6418,名詞,尺,10,10,0.1302,0.0,0.0,0.0,-0.1302,0.0
6419,名詞,広場,11,10,0.1302,0.0,0.0,0.0,-0.1302,0.0
6420,名詞,技術,10,10,0.1302,0.0,0.0,0.0,-0.1302,0.0
6421,名詞,教卓,12,10,0.1302,0.0,0.0,0.0,-0.1302,0.0
6422,名詞,新体操,10,10,0.1302,0.0,0.0,0.0,-0.1302,0.0
6423,名詞,水分,13,10,0.1302,0.0,0.0,0.0,-0.1302,0.0
6424,名詞,水飲み,11,10,0.1302,0.0,0.0,0.0,-0.1302,0.0
6425,名詞,片手,10,10,0.1302,0.0,0.0,0.0,-0.1302,0.0
6426,名詞,秒,12,10,0.1302,0.0,0.0,0.0,-0.1302,0.0
6427,名詞,糸,15,10,0.1302,0.0,0.0,0.0,-0.1302,0.0
6428,名詞,背面,10,10,0.1302,0.0,0.0,0.0,-0.1302,0.0
6429,名詞,荷台,13,10,0.1302,0.0,0.0,0.0,-0.1302,0.0
6430,名詞,解析,10,10,0.1302,0.0,0.0,0.0,-0.1302,0.0
6431,名詞,返事,10,10,0.1302,0.0,0.0,0.0,-0.1302,0.0
6432,名詞,防火,13,10,0.1302,0.0,0.0,0.0,-0.1302,0.0
6433,名詞,隊,11,10,0.1302,0.0,0.0,0.0,-0.1302,0.0
6434,名詞,頬骨,10,10,0.1302,0.0,0.0,0.0,-0.1302,0.0
6435,名詞,飛び込み台,11,10,0.1302,0.0,0.0,0.0,-0.1302,0.0
6436,形容詞,良い,10,10,0.1302,0.0,0.0,0.0,-0.1302,0.0
6437,形容詞,赤い,11,10,0.1302,0.0,0.0,0.0,-0.1302,0.0
6438,名詞,反対,46,44,0.5728,7.0,7.0,0.4422,-0.1306,0.772
6439,名詞,アップ,15,15,0.1953,1.0,1.0,0.0632,-0.1321,0.3236
6440,名詞,ハーフ,16,15,0.1953,1.0,1.0,0.0632,-0.1321,0.3236
6441,名詞,乗り,15,15,0.1953,1.0,1.0,0.0632,-0.1321,0.3236
6442,名詞,会場,15,15,0.1953,1.0,1.0,0.0632,-0.1321,0.3236
6443,名詞,側面,15,15,0.1953,1.0,1.0,0.0632,-0.1321,0.3236
6444,名詞,元,15,15,0.1953,1.0,1.0,0.0632,-0.1321,0.3236
6445,名詞,円,18,15,0.1953,2.0,1.0,0.0632,-0.1321,0.3236
6446,名詞,安全,17,15,0.1953,1.0,1.0,0.0632,-0.1321,0.3236
6447,名詞,山,17,15,0.1953,1.0,1.0,0.0632,-0.1321,0.3236
6448,名詞,水道,18,15,0.1953,1.0,1.0,0.0632,-0.1321,0.3236
6449,名詞,痙攣,16,15,0.1953,1.0,1.0,0.0632,-0.1321,0.3236
6450,名詞,縄,25,15,0.1953,1.0,1.0,0.0632,-0.1321,0.3236
6451,名詞,背負い投げ,15,15,0.1953,1.0,1.0,0.0632,-0.1321,0.3236
6452,名詞,防御,15,15,0.1953,1.0,1.0,0.0632,-0.1321,0.3236
6453,形容詞,熱い,15,15,0.1953,1.0,1.0,0.0632,-0.1321,0.3236
6454,形容詞,近い,15,15,0.1953,1.0,1.0,0.0632,-0.1321,0.3236
6455,形容詞,遠い,15,15,0.1953,1.0,1.0,0.0632,-0.1321,0.3236
6456,名詞,戦,50,49,0.6379,9.0,8.0,0.5054,-0.1325,0.7923
6457,名詞,手すり,58,49,0.6379,10.0,8.0,0.5054,-0.1325,0.7923
6458,名詞,所,85,83,1.0804,15.0,15.0,0.9476,-0.1328,0.8771
6459,名詞,ちょっかい,21,20,0.2603,2.0,2.0,0.1263,-0.134,0.4852
6460,名詞,クラスメイト,22,20,0.2603,2.0,2.0,0.1263,-0.134,0.4852
6461,名詞,到着,20,20,0.2603,2.0,2.0,0.1263,-0.134,0.4852
6462,名詞,半身,20,20,0.2603,2.0,2.0,0.1263,-0.134,0.4852
6463,名詞,鍵,27,20,0.2603,2.0,2.0,0.1263,-0.134,0.4852
6464,名詞,頭頂,20,20,0.2603,2.0,2.0,0.1263,-0.134,0.4852
6465,名詞,ピッチングマシン,28,25,0.3254,3.0,3.0,0.1895,-0.1359,0.5824
6466,名詞,倉庫,31,25,0.3254,4.0,3.0,0.1895,-0.1359,0.5824
6467,名詞,体勢,60,59,0.768,10.0,10.0,0.6317,-0.1363,0.8225
6468,動詞,気付く,129,127,1.6532,24.0,24.0,1.5161,-0.1371,0.9171
6469,名詞,向き,30,30,0.3905,4.0,4.0,0.2527,-0.1378,0.6471
6470,動詞,飛び降りる,36,35,0.4556,5.0,5.0,0.3159,-0.1397,0.6934
6471,名詞,度,35,35,0.4556,5.0,5.0,0.3159,-0.1397,0.6934
6472,名詞,物,35,35,0.4556,5.0,5.0,0.3159,-0.1397,0.6934
6473,名詞,縁,37,35,0.4556,5.0,5.0,0.3159,-0.1397,0.6934
6474,名詞,口論,41,40,0.5207,6.0,6.0,0.379,-0.1417,0.7279
6475,名詞,顧問,46,40,0.5207,7.0,6.0,0.379,-0.1417,0.7279
6476,名詞,辺り,76,74,0.9633,15.0,13.0,0.8212,-0.1421,0.8525
6477,動詞,丸める,11,11,0.1432,0.0,0.0,0.0,-0.1432,0.0
6478,動詞,割る,11,11,0.1432,0.0,0.0,0.0,-0.1432,0.0
6479,動詞,崩れ落ちる,11,11,0.1432,0.0,0.0,0.0,-0.1432,0.0
6480,動詞,考える,11,11,0.1432,0.0,0.0,0.0,-0.1432,0.0
6481,動詞,逃げ込む,11,11,0.1432,0.0,0.0,0.0,-0.1432,0.0
6482,名詞,しびれ,11,11,0.1432,0.0,0.0,0.0,-0.1432,0.0
6483,名詞,ふく,11,11,0.1432,0.0,0.0,0.0,-0.1432,0.0
6484,名詞,カンナ,17,11,0.1432,0.0,0.0,0.0,-0.1432,0.0
6485,名詞,ストーブ,18,11,0.1432,0.0,0.0,0.0,-0.1432,0.0
6486,名詞,タイム,12,11,0.1432,0.0,0.0,0.0,-0.1432,0.0
6487,名詞,テラス,13,11,0.1432,0.0,0.0,0.0,-0.1432,0.0
6488,名詞,ハンド,11,11,0.1432,0.0,0.0,0.0,-0.1432,0.0
6489,名詞,フットサル,11,11,0.1432,0.0,0.0,0.0,-0.1432,0.0
6490,名詞,レール,13,11,0.1432,0.0,0.0,0.0,-0.1432,0.0
6491,名詞,人工,12,11,0.1432,0.0,0.0,0.0,-0.1432,0.0
6492,名詞,作動,13,11,0.1432,0.0,0.0,0.0,-0.1432,0.0
6493,名詞,入水,14,11,0.1432,0.0,0.0,0.0,-0.1432,0.0
6494,名詞,具,12,11,0.1432,0.0,0.0,0.0,-0.1432,0.0
6495,名詞,再開,12,11,0.1432,0.0,0.0,0.0,-0.1432,0.0
6496,名詞,前向き,11,11,0.1432,0.0,0.0,0.0,-0.1432,0.0
6497,名詞,午睡,11,11,0.1432,0.0,0.0,0.0,-0.1432,0.0
6498,名詞,太もも,11,11,0.1432,0.0,0.0,0.0,-0.1432,0.0
6499,名詞,工作,11,11,0.1432,0.0,0.0,0.0,-0.1432,0.0
6500,名詞,患部,11,11,0.1432,0.0,0.0,0.0,-0.1432,0.0
6501,名詞,手押し,12,11,0.1432,0.0,0.0,0.0,-0.1432,0.0
6502,名詞,木工,11,11,0.1432,0.0,0.0,0.0,-0.1432,0.0
6503,名詞,梗塞,11,11,0.1432,0.0,0.0,0.0,-0.1432,0.0
6504,名詞,残り,11,11,0.1432,0.0,0.0,0.0,-0.1432,0.0
6505,名詞,眉毛,11,11,0.1432,0.0,0.0,0.0,-0.1432,0.0
6506,名詞,筆箱,18,11,0.1432,0.0,0.0,0.0,-0.1432,0.0
6507,名詞,節,13,11,0.1432,0.0,0.0,0.0,-0.1432,0.0
6508,名詞,脊髄,12,11,0.1432,0.0,0.0,0.0,-0.1432,0.0
6509,名詞,草,13,11,0.1432,0.0,0.0,0.0,-0.1432,0.0
6510,名詞,補給,12,11,0.1432,0.0,0.0,0.0,-0.1432,0.0
6511,名詞,角膜,11,11,0.1432,0.0,0.0,0.0,-0.1432,0.0
6512,名詞,貫通,11,11,0.1432,0.0,0.0,0.0,-0.1432,0.0
6513,名詞,進行,11,11,0.1432,0.0,0.0,0.0,-0.1432,0.0
6514,名詞,電気,11,11,0.1432,0.0,0.0,0.0,-0.1432,0.0
6515,名詞,ｋｍ,12,11,0.1432,0.0,0.0,0.0,-0.1432,0.0
6516,名詞,そこ,45,45,0.5858,7.0,7.0,0.4422,-0.1436,0.7549
6517,名詞,防,53,45,0.5858,7.0,7.0,0.4422,-0.1436,0.7549
6518,動詞,刺す,18,16,0.2083,1.0,1.0,0.0632,-0.1451,0.3034
6519,動詞,流す,18,16,0.2083,1.0,1.0,0.0632,-0.1451,0.3034
6520,動詞,滑り落ちる,16,16,0.2083,1.0,1.0,0.0632,-0.1451,0.3034
6521,動詞,背負う,16,16,0.2083,1.0,1.0,0.0632,-0.1451,0.3034
6522,動詞,駆け付ける,16,16,0.2083,1.0,1.0,0.0632,-0.1451,0.3034
6523,名詞,ひさし,22,16,0.2083,1.0,1.0,0.0632,-0.1451,0.3034
6524,名詞,・,17,16,0.2083,1.0,1.0,0.0632,-0.1451,0.3034
6525,名詞,付け根,16,16,0.2083,1.0,1.0,0.0632,-0.1451,0.3034
6526,名詞,助走,17,16,0.2083,1.0,1.0,0.0632,-0.1451,0.3034
6527,名詞,更衣,17,16,0.2083,1.0,1.0,0.0632,-0.1451,0.3034
6528,名詞,様,16,16,0.2083,1.0,1.0,0.0632,-0.1451,0.3034
6529,名詞,無理,16,16,0.2083,1.0,1.0,0.0632,-0.1451,0.3034
6530,名詞,自力,16,16,0.2083,1.0,1.0,0.0632,-0.1451,0.3034
6531,名詞,複数,16,16,0.2083,1.0,1.0,0.0632,-0.1451,0.3034
6532,名詞,ブロック,61,50,0.6509,9.0,8.0,0.5054,-0.1455,0.7765
6533,名詞,裂傷,85,84,1.0935,15.0,15.0,0.9476,-0.1459,0.8666
6534,名詞,ミニゲーム,21,21,0.2734,2.0,2.0,0.1263,-0.1471,0.462
6535,名詞,ランドセル,25,21,0.2734,4.0,2.0,0.1263,-0.1471,0.462
6536,名詞,日常,21,21,0.2734,2.0,2.0,0.1263,-0.1471,0.462
6537,動詞,呼ぶ,28,26,0.3385,3.0,3.0,0.1895,-0.149,0.5598
6538,動詞,振り上げる,28,26,0.3385,3.0,3.0,0.1895,-0.149,0.5598
6539,動詞,握る,26,26,0.3385,3.0,3.0,0.1895,-0.149,0.5598
6540,名詞,ホーム,30,26,0.3385,3.0,3.0,0.1895,-0.149,0.5598
6541,名詞,マネージャー,26,26,0.3385,3.0,3.0,0.1895,-0.149,0.5598
6542,名詞,入口,30,26,0.3385,4.0,3.0,0.1895,-0.149,0.5598
6543,名詞,柵,37,26,0.3385,3.0,3.0,0.1895,-0.149,0.5598
6544,名詞,鉄製,31,31,0.4035,4.0,4.0,0.2527,-0.1508,0.6263
6545,名詞,あたり,65,65,0.8461,11.0,11.0,0.6949,-0.1512,0.8213
6546,名詞,総合,37,36,0.4686,5.0,5.0,0.3159,-0.1527,0.6741
6547,名詞,友だち,51,41,0.5337,9.0,6.0,0.379,-0.1547,0.7101
6548,名詞,脚,46,41,0.5337,6.0,6.0,0.379,-0.1547,0.7101
6549,名詞,机,173,109,1.4189,28.0,20.0,1.2634,-0.1555,0.8904
6550,名詞,まま,148,143,1.8615,27.0,27.0,1.7056,-0.1559,0.9163
6551,名詞,-,12,12,0.1562,0.0,0.0,0.0,-0.1562,0.0
6552,名詞,100,12,12,0.1562,0.0,0.0,0.0,-0.1562,0.0
6553,名詞,か所,14,12,0.1562,0.0,0.0,0.0,-0.1562,0.0
6554,名詞,カッターナイフ,14,12,0.1562,0.0,0.0,0.0,-0.1562,0.0
6555,名詞,付,12,12,0.1562,0.0,0.0,0.0,-0.1562,0.0
6556,名詞,作成,12,12,0.1562,0.0,0.0,0.0,-0.1562,0.0
6557,名詞,刈り,13,12,0.1562,0.0,0.0,0.0,-0.1562,0.0
6558,名詞,受け身,12,12,0.1562,0.0,0.0,0.0,-0.1562,0.0
6559,名詞,幹部,12,12,0.1562,0.0,0.0,0.0,-0.1562,0.0
6560,名詞,我慢,13,12,0.1562,0.0,0.0,0.0,-0.1562,0.0
6561,名詞,皮膚,12,12,0.1562,0.0,0.0,0.0,-0.1562,0.0
6562,名詞,移送,12,12,0.1562,0.0,0.0,0.0,-0.1562,0.0
6563,名詞,走り幅跳び,12,12,0.1562,0.0,0.0,0.0,-0.1562,0.0
6564,名詞,食,14,12,0.1562,0.0,0.0,0.0,-0.1562,0.0
6565,名詞,騎馬,20,12,0.1562,0.0,0.0,0.0,-0.1562,0.0
6566,形容詞,早い,12,12,0.1562,0.0,0.0,0.0,-0.1562,0.0
6567,動詞,あげる,17,17,0.2213,1.0,1.0,0.0632,-0.1581,0.2856
6568,動詞,呼びかける,17,17,0.2213,1.0,1.0,0.0632,-0.1581,0.2856
6569,動詞,防ぐ,18,17,0.2213,1.0,1.0,0.0632,-0.1581,0.2856
6570,動詞,鳴る,17,17,0.2213,1.0,1.0,0.0632,-0.1581,0.2856
6571,名詞,こめかみ,17,17,0.2213,1.0,1.0,0.0632,-0.1581,0.2856
6572,名詞,てい,19,17,0.2213,1.0,1.0,0.0632,-0.1581,0.2856
6573,名詞,待ち,17,17,0.2213,1.0,1.0,0.0632,-0.1581,0.2856
6574,名詞,縦,17,17,0.2213,1.0,1.0,0.0632,-0.1581,0.2856
6575,名詞,頃,21,17,0.2213,1.0,1.0,0.0632,-0.1581,0.2856
6576,名詞,片付け,52,51,0.6639,9.0,8.0,0.5054,-0.1585,0.7613
6577,名詞,体験,25,22,0.2864,2.0,2.0,0.1263,-0.1601,0.441
6578,名詞,子,25,22,0.2864,2.0,2.0,0.1263,-0.1601,0.441
6579,名詞,施設,26,22,0.2864,2.0,2.0,0.1263,-0.1601,0.441
6580,名詞,経過,22,22,0.2864,2.0,2.0,0.1263,-0.1601,0.441
6581,名詞,剣道,28,27,0.3515,4.0,3.0,0.1895,-0.162,0.5391
6582,名詞,集合,28,27,0.3515,3.0,3.0,0.1895,-0.162,0.5391
6583,動詞,持ち上げる,34,32,0.4166,4.0,4.0,0.2527,-0.1639,0.6066
6584,名詞,柄,42,32,0.4166,4.0,4.0,0.2527,-0.1639,0.6066
6585,名詞,裂創,32,32,0.4166,4.0,4.0,0.2527,-0.1639,0.6066
6586,動詞,突っ込む,69,66,0.8592,11.0,11.0,0.6949,-0.1643,0.8088
6587,名詞,キャッチボール,73,71,0.9242,12.0,12.0,0.7581,-0.1661,0.8203
6588,名詞,合同,43,42,0.5467,6.0,6.0,0.379,-0.1677,0.6933
6589,動詞,こぼれる,13,13,0.1692,0.0,0.0,0.0,-0.1692,0.0
6590,動詞,よろける,13,13,0.1692,0.0,0.0,0.0,-0.1692,0.0
6591,動詞,添える,13,13,0.1692,0.0,0.0,0.0,-0.1692,0.0
6592,名詞,S,13,13,0.1692,0.0,0.0,0.0,-0.1692,0.0
